alert_name,smarts
N-hydroxyl pyridine,n[OH]
N-nitroso,[#7]-N=O
N1 Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1
N2 Polyenes,C=CC=CC=CC=C
N3 Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2
N4 Cytochalasin derivatives,O=C1NCC2CCCCC21
N5 Cycloheximide derivatives,O=C1CCCC(N1)=O
N6 Monensin derivatives,O1CCCCC1C2CCCO2
N8 Squalestatin derivatives,C12OCCC(O1)CC2
NO_phosphonate,P(=O)ON
Oxalyl,O=C-&!@C=O
Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]"
P/S halide,"[P,S][F,Cl,Br,I]"
Perhalo_ketone,"O=CC(-[F,Cl,Br,I])([F,Cl,Br,I])-[F,Cl,Br,I]"
Phenalene,c1(c)c2c(c)cccc2ccc1
Phosphoric acid,[OH]-P(=O)(-O)-*
Phosphoric ester,COP(=O)(-*)O
Polycyclic aromatic hydrocarbon,a21aa3a(aa1aaaa2)aaaa3
Polycyclic aromatic hydrocarbon,a31a(a2a(aa1)aaaa2)aaaa3
R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]"
R10 esters of HOBT,C(=O)Onnn
R11 Isocyanates & Isothiocyanates,"N=C=[S,O]"
R12 Triflates,OS(=O)(=O)C(F)(F)F
R13 lawesson's reagent and derivatives,P(=S)(S)S
R14 phosphoramides,NP(=O)(N)N
R15 Aromatic azides,cN=[N+]=[N-]
R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]"
R17 acylhydrazide,[N;R0][N;R0]C(=O)
"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]"
R19 Phosphoranes,C=P
R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]"
R20 Chloramidines,[Cl]C([C&R0])=N
R21 Nitroso,[N&D2](=O)
R22 P/S Halides,"[P,S][Cl,Br,F,I]"
R23 Carbodiimide,N=C=N
R24 Isonitrile,[N+]#[C-]
R25 Triacyloximes,C(=O)N(C(=O))OC(=O)
R26 Cyanohydrins,N#CC[OH]
R27 Acyl cyanides,N#CC(=O)
R3 Carbazides,O=CN=[N+]=[N-]
R30 Azocyanamides,[N;R0]=[N;R0]C#N
R31 Azoalkanals,[N;R0]=[N;R0]CC=O
R4 Sulphate esters,"COS(=O)O[C,c]"
R5 Sulphonates,"COS(=O)(=O)[C,c]"
R6 Acid anhydrides,C(=O)OC(=O)
R7 Peroxides,OO
R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F)
R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1
Sulfonic acid,"[C,c]S(=O)(=O)O[C,c]"
Sulfonic acid,"S(=O)(=O)[O-,OH]"
Sulfonic acid,[OH]-S(=O)(=O)-*
Sulphur-nitrogen single bond,[SX2H0][N]
Thiobenzothiazole,c12ccccc1(SC(S)=N2)
Thiocarbonyl group,"[C,c]=S"
Three-membered heterocycle,"*1[O,S,N]*1"
Triphenylphosphine,a-P(-a)-a
Unbranched chain,"[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]"
acetal,[#6]-O[CH1](-[#6])O-[#6]
acid halide,"[S,C](=[O,S])[F,Br,Cl,I]"
acid halide,"C(=O)[Cl,Br,I,F]"
acrylate,[CH2]=[C;!$(C-N);!$(C-O)]C(=O)
activated_4mem_ring,"[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1"
activated_S#O_3_ring,"C1~[O,S]~[C,N,O,S]1[a,N,O,S]"
activated_acetylene,"[$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))]C#[C;!$(C-N);!$(C-n)]"
activated_diazo,"[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])=[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])"
activated_vinyl_ester,"O=COC=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]"
activated_vinyl_sulfonate,"O(-S(=O)(=O))C=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]"
acyclic C=C-O,C=[C!r]O
acyclic_imide,"[C,c][C;!R](=O)[N;!R][C;!R](=O)[C,c]"
acyl cyanide,N#CC(=O)
acyl hydrazine,[N;R0][N;R0]C(=O)
acyl hydrazine,C(=O)N[NH2]
acyl_123_triazole,[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1
acyl_134_triazole,[#7]1~[#7]~[#6]~[#7](-C(=O)[!N])~[#6]1
acyl_activated_NO,"O=C(-[!N])O[$([#7;+]),$(N(C=[O,S,N])(C=[O,S,N]))]"
acyl_cyanide,C(=O)-C#N
acyl_het_A(9),[#7+](:[!#1]:[!#1]:[!#1])-[!#1]=[#8]
acyl_imidazole,"[C;!$(C-N)](=O)[#7]1[#6;H1,$([#6]([*;!R]))][#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1"
acyl_pyrazole,"[C;!$(C-N)](=O)[#7]1[#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1"
aldehyde,"[C,c][C;H1](=O)"
aldehyde,[#6]-[CH1]=O
aldehyde,[CH1](=O)
alkyl halide,"[CX4][Cl,Br,I]"
alkyl halide,"[Br,Cl,I][CX4,CH,CH2,CH3]"
alkynyl michael acceptor1,"[#6]-C#CC(=O)[#6,#7,#8]"
alkynyl michael acceptor2,"[CH1]#CC(=O)-[#6,#7,#8]"
allene,*=C=*
alpha_dicarbonyl,C(=O)!@C(=O)
alpha_halo_EWG,"[$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-])]-[CH,CH2]-[Cl,Br,I,$(O(S(=O)(=O)))]"
alpha_halo_amine,"[F,Cl,Br,I,$(O(S(=O)(=O)))]-[CH,CH2;!$(C(F)F)]-[N,n]"
alpha_halo_carbonyl,"C(=O)([CH,CH2][Cl,Br,I,$(O(S(=O)(=O)))])"
alpha_halo_heteroatom,"[N,n,O,S;!$(S(=O)(=O))]-[CH,CH2;!$(C(F)F)][F,Cl,Br,I,$(O(S(=O)(=O)))]"
alpha_halo_heteroatom_tert,"[N,n,O,S;!$(S(=O)(=O))]-C([Cl,Br,I,$(O(S(=O)(=O)))])(C)(C)"
amidotetrazole,c1nnnn1C=O
amino_acridine_A(1),c:1:c:c:c:c:2:c:1:c:c:3:c(:n:2):n:c:4:c(:c:3-[#7]):c:c:c:c:4
amino_acridine_A(46),c:1:c:2:c(:c:c:c:1):n:c:3:c(:c:2-[#7]):c:c:c:c:3
anhydride,"[$(C(=O)),$(C(=S))]-[O,S]-[$(C(=O)),$(C(=S)),$(C(=[N;!R])),$(C(=N(-[C;X4])))]"
anhydride,C(=O)OC(=O)
anil_alk_ene(51),c:1:c:c-2:c(:c:c:1)-[#6]-3-[#6](-[#6]-[#7]-2)-[#6]-[#6]=[#6]-3
anil_alk_indane(1),c:1(:c:c-3:c(:c:c:1)-[#7]-[#6]-4-c:2:c:c:c:c:c:2-[#6]-[#6]-3-4)-[#6;X4]
anil_di_alk_B(251),c:1:c:c(:c:c:c:1-[#7](-[#6;X4])-[#6;X4])-[#6]=[#6]
anil_di_alk_C(246),"c:1:c:c(:c:c:c:1-[#8]-[#6;X4])-[#7;$([#7!H0]-[#6;X4]),$([#7](-[#6;X4])-[#6;X4])]"
anil_di_alk_D(198),"c:1:c:c(:c:c:c:1-[#7](-[#6;X4])-[#6;X4])-[#6;X4]-[$([#8]-[#1]),$([#6]=[#6]-[#1]),$([#7](-[#6X4])-[#6;X4])]"
anil_di_alk_F(14),"c:1:c:c(:c:c:c:1-[#6;X4]-c:2:c:c:c(:c:c:2)-[#7&H2,$([#7;!H0]-[#6;X4]),$([#7](-[#6X4])-[#6X4])])-[#7&H2,$([#7;!H0]-[#6;X4]),$([#7](-[#6X4])-[#6X4])]"
aniline,c1cc([NH2])ccc1
anthranil_one_A(38),"c:1:c:c:c:c(:c:1-[#7&!H0;!H1,!$([#7]-[#6]=[#8])])-[#6](-[#6]:[#6])=[#8]"
any carbazide,O=*N=[N+]=[N-]
aromatic Sulfonic ester,"[#6,#7]-S(=O)(=O)Oc"
aromatic azide,cN=[N+]=[N-]
aryl_phosphonate,P(=O)-[O;!R]-a
aryl_thiocarbonyl,a-[S;X2;!R]-[C;!R](=O)
azide,"[$(N#[N+]-[N-]),$([N-]=[N+]=N)]"
aziridine_diazirine,"[C,N]1~[C,N]~N~1"
azo_A(324),[#7;!R]=[#7]
azo_amino,[N]=[N;!R]-[N]
azo_aryl,c[N;!R;!+]=[N;!R;!+]-c
azo_filter2,[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)]
azo_filter3,[N;!R]-[N;!R]-[N;!R]
azoalkanal,[N;R0]=[N;R0]CC=O
azocyanamide,[N;R0]=[N;R0]C#N
b-carbonyl quaternary nitrogen,"C(=O)CC[N+,n+]"
b-lactam,N1CCC1=O
bad_boron,"[B-,BH2,BH3,$(B(F)(F))]"
bad_cations,"[C+,F+,Cl+,Br+,I+,Se+]"
benzhydrol,[OH1]-C(-c1ccccc1)c2ccccc2
benzidine_like,c([N;!+])1ccc(c2ccc([N;!+])cc2)cc1
benzylic quaternary nitrogen,cC[N+]
beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)"
beta_lactone,"[#6,#15,#16]1(=O)~[#6]~[#6]~[#8,#16]1"
betalactam,C1(=O)~[#6]~[#6]N1
betalactam_EWG,"C1(=O)~[#6]~[#6]N1([$(S(=O)(=O)[C,c,O&D2]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)[C,c,O&D2])])"
biotin analogue,C12C(NC(N1)=O)CSC2
bis_activated_aryl_ester,"O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1"
bis_keto_olefin,"CC(=O)[$([C&H1]),$(C-F),$(C-Cl),$(C-Br),$(C-I)]=[$([C&H1]),$(C-F),$(C-Cl),$(C-Br),$(C-I)]C(=O)C"
boron_warhead,"[C,c]~[#5]"
branched_polycyclic_aromatic,a1(a2aa(a3aaaaa3)aa(a4aaaaa4)a2)aaaaa1
carbodiimide_iso#thio#cyanate,"N=C=[N,O,S]"
carbonyl_halide,"O=C[F,Cl,Br,I]"
catechol,"c1c([OH])c([OH,NH2,NH])ccc1"
charged oxygen or sulfur atoms,"[O+,o+,S+,s+]"
chinone,"C1(=[O,N])C=CC(=[O,N])C=C1"
chinone,"C1(=[O,N])C(=[O,N])C=CC=C1"
chloramidine,[Cl]C([C&R0])=N
conjugated nitrile group,C=[C!r]C#N
contains_metal,"[$([Ru]),$([Rh]),$([Se]),$([Pd]),$([Sc]),$([Bi]),$([Sb]),$([Ag]),$([Ti]),$([Al]),$([Cd]),$([V]),$([In]),$([Cr]),$([Sn]),$([Mn]),$([La]),$([Fe]),$([Er]),$([Tm]),$([Yb]),$([Lu]),$([Hf]),$([Ta]),$([W]),$([Re]),$([Co]),$([Os]),$([Ni]),$([Ir]),$([Cu]),$([Zn]),$([Ga]),$([Ge]),$([As]),$([Y]),$([Zr]),$([Nb]),$([Ce]),$([Pr]),$([Nd]),$([Sm]),$([Eu]),$([Gd]),$([Tb]),$([Dy]),$([Ho]),$([Pt]),$([Au]),$([Hg]),$([Tl]),$([Pb]),$([Ac]),$([Th]),$([Pa]),$([Mo]),$([U]),$([Tc]),$([Te]),$([Po]),$([At])]"
coumarin_C(1),"[#6]-,:2(-,:[#6]=,:[#7]-,:c:1:c:c(:c:c:c:1-,:[#8]-,:2)-[Cl])=[#8]"
crown ether,"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]"
crown ether,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1]
crown_ether,"[$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18]),$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18]),$([O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][CH,CH2;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18][O,S,#7;R1;r9,r10,r11,r12,r13,r14,r15,r16,r17,r18])]"
cumarine,c1ccc2c(c1)ccc(=O)o2
cyanamide,N[CH2]C#N
cyanate/aminonitrile/thiocyanate,"[N,O,S]C#N"
cyano_cyano_A(23),"[#6](-[#6]#[#7])(-[#6]#[#7])-[#6](-[$([#6]#[#7]),$([#6]=[#7])])-[#6]#[#7]"
cyano_misc_A(1),c:2(:c:1:c:c:c:c:c:1:n:n:c:2)-[#6](-[#6]:[#6])-[#6]#[#7]
cyano_pyridone_B(27),"[#6]-,:1(=,:[#6](-,:[#6](=[#8])-,:[#7]-,:[#6](=,:[#7]-,:1)-,:[!#6&!#1])-[#6]#[#7])-[#6]"
cyano_pyridone_D(5),"[#8]=[#6]-,:1-,:[#6](=,:[#6]-,:[#6](=,:[#7]-,:[#7]-,:1)-,:[#6]=[#8])-[#6]#[#7]"
cyano_pyridone_F(3),"[#7]-,:2(-c:1:c:c:c:c:c:1)-,:[#6](=[#8])-,:[#6](=,:[#6]-,:[#6](=,:[#7]-,:2)-[#6]#[#7])-[#6]#[#7]"
cyanohydrin,"[C;X4](-[OH,NH1,NH2,SH])(-C#N)"
cyanohydrin,N#CC[OH]
cyanohydrins,N#CC[OH]
cycloheptane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1
cycloheptane,[CR2]1[CR2][CR2]cc[CR2][CR2]1
cycloheximide,O=C1CCCC(N1)=O
cyclooctane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2][CR2]1
cyclooctane,[CR2]1[CR2][CR2]cc[CR2][CR2][CR2]1
cytochalasin,O=C1NCC2CCCCC21
di/triphosphate,P(=O)([OH])OP(=O)[OH]
diamino_sulfide,"[N,n]~[S;!R;D2]~[N,n]"
diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])c([N+0X3R0,nX3R0])[cR2][cR2]1"
diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2][cR2]c1([N+0X3R0,nX3R0])"
diazo group,[N!R]=[N!R]
diazo_carbonyl,"[$(N=N=C~C=O),$(N#N-C~C=O)]"
diazonium,a[N+]#N
diazox_A(3),[#8](-c:1:c:c:c:c:c:1)-c:3:c:c:2:n:o:n:c:2:c:c:3
diazox_B(3),[Cl]-c:2:c:c:1:n:o:n:c:1:c:c:2
diazox_sulfon_A(36),"[#7](-c:1:c:c:c:c:c:1)-[#16](=[#8])(=[#8])-[#6]:2:[#6]:[#6]:[#6]:[#6]:3:[#7]:[$([#8]),$([#16])]:[#7]:[#6]:2:3"
dicarbonyl_sulfonamide,"[$(N(-C(=O))(-C(=O))(-S(=O))),$(n([#6](=O))([#6](=O))([#16](=O)))]"
dihydroxybenzene,[OH1]c1ccc([OH1])cc1
diketo group,"[C,c](=O)[C,c](=O)"
disulfide,SS
disulfide_acyclic,[S;!R;X2]-[S;!R;X2]
disulphide,SS
enamine,[CX2R0][NX3R0]
ene_cyano_A(19),[#6](-[#6]#[#7])(-[#6]#[#7])=[#6]-c:1:c:c:c:c:c:1
ene_cyano_D(3),[#6](-[#6]#[#7])(-[#6]#[#7])=[#6](-[#16])-[#16]
ene_five_het_A(201),[#6]-1(=[#6])-[#6]=[#7]-[!#6&!#1]-[#6]-1=[#8]
ene_five_het_B(90),[#6]-1(=[#6])-[#6](-[#7]=[#6]-[#16]-1)=[#8]
ene_five_het_C(85),[#6]-1(-[#6](-[#6]=[#6]-[!#6&!#1]-1)=[#6])=[!#6&!#1]
ene_five_het_D(46),[#6]-1(=[#6])-[#6](=[#8])-[#7]-[#7]-[#6]-1=[#8]
ene_five_het_E(44),[#7]-[#6]=!@[#6]-2-[#6](=[#8])-c:1:c:c:c:c:c:1-[!#6&!#1]-2
ene_five_het_H(6),[#7]-1=[#6]-[#6](-[#6](-[#7]-1)=[#16])=[#6]
ene_five_het_M(3),"[#6]-1=,:[#6]-[#6](-[#6](-[$([#8]),$([#16])]-1)=[#6]-[#6]=[#8])=[#8]"
ene_five_one_A(55),c:1-2:c(:c:c:c:c:1)-[#6](=[#8])-[#6](=[#6])-[#6]-2=[#8]
ene_misc_A(5),[#6]-1=[#6]-[#6](-[#8]-[#6]-1-[#8])(-[#8])-[#6]
ene_one_ene_A(57),[#6]=!@[#6](-[!#1])-@[#6](=!@[!#6&!#1])-@[#6](=!@[#6])-[!#1]
ene_one_hal(17),"[#6]-[#6]=[#6](-[F,Cl,Br,I])-[#6](=[#8])-[#6]"
ene_one_yne_A(1),[#6]#[#6]-[#6](=[#8])-[#6]#[#6]
ene_rhod_A(235),[#7]-1-[#6](=[#16])-[#16]-[#6](=[#6])-[#6]-1=[#8]
"epoxide, aziridine, thioepoxide","C1[O,S,N]C1"
ester of HOBT,C(=O)Onnn
flavanoid,O=C2CC(a3aaaaa3)Oa1aaaaa12
four member lactones,C1(=O)OCC1
four_nitriles,C#N.C#N.C#N.C#N
gte_10_carbon_sb_chain,[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]
gte_2_N_quats,"[N,n;H0;+;!$(N~O);!$(n~O)].[N,n;H0;+;!$(N~O);!$(n~O)]"
gte_2_free_phos,P([O;D1])=O.P([O;D1])=O
